Airports,Year,Total
BINTULU,2016,779086.00
BINTULU,2017,826501.00
BINTULU,2018,909057.00
BINTULU,2019,1114318.00
BINTULU,2020,369777.00
BINTULU,2021,166224.00
BINTULU,2022,725786.00
BINTULU,2023,872477.00
MIRI,2014,2355071.00
MIRI,2015,2241913.00
MIRI,2016,2195145.00
MIRI,2017,2179799.00
MIRI,2018,2343468.00
MIRI,2019,2433651.00
MIRI,2020,876085.00
MIRI,2021,508631.00
MIRI,2022,1775238.00
MIRI,2023,2199665.00
SIBU,2014,1411539.00
SIBU,2015,1438502.00
SIBU,2016,1455293.00
SIBU,2017,1485385.00
SIBU,2018,1570591.00
SIBU,2019,1751556.00
SIBU,2020,570318.00
SIBU,2021,243342.00
SIBU,2022,1233824.00
SIBU,2023,1548602.00
MULU,2014,52175.00
MULU,2015,51387.00
MULU,2016,60074.00
MULU,2017,62656.00
MULU,2018,57505.00
MULU,2019,59501.00
MULU,2020,17917.00
MULU,2021,11600.00
MULU,2022,62505.00
MULU,2023,72150.00
LIMBANG,2014,63870.00
LIMBANG,2015,58300.00
LIMBANG,2016,55437.00
LIMBANG,2017,49461.00
LIMBANG,2018,45475.00
LIMBANG,2019,57638.00
LIMBANG,2020,73230.00
LIMBANG,2021,85559.00
LIMBANG,2022,149960.00
LIMBANG,2023,83695.00
MUKAH,2014,37968.00
MUKAH,2015,35935.00
MUKAH,2016,36206.00
MUKAH,2017,37148.00
MUKAH,2018,40919.00
MUKAH,2019,47557.00
MUKAH,2020,29011.00
MUKAH,2021,30595.00
MUKAH,2022,61922.00
MUKAH,2023,60640.00
